Date,Book,Particular,Debit,Credit,Balance
1/4/2019,,Opening Balance DR,,,"4,500.00"
15/02/20,SAL0,RECHARGE SALE R  1894229477,"2,000.00",,"6,500.00"
16/02/20,SAL0,RECHARGE SALE R  1894864624,"1,500.00",,"8,000.00"
17/02/20,SAL0,RECHARGE SALE R  1895179410,"1,000.00",,"9,000.00"
18/02/20,SAL0,RECHARGE SALE R  1895752186,500,,"9,500.00"
18/02/20,CSH1,CASH R.NO.,,"9,500.00",0
19/02/20,SAL0,RECHARGE SALE R  1896373649,"3,000.00",,"3,000.00"
20/02/20,SAL0,RECHARGE SALE R  1896842107,"1,500.00",,"4,500.00"
21/02/20,SAL0,RECHARGE SALE R  1897356985,"2,000.00",,"6,500.00"
22/02/20,SAL0,RECHARGE SALE R  1897800073,"2,000.00",,"8,500.00"
23/02/20,SAL0,RECHARGE SALE R  1898331762,"2,500.00",,"11,000.00"
24/02/20,SAL0,RECHARGE SALE R  1898613570,"3,500.00",,"14,500.00"
25/02/20,SAL0,RECHARGE SALE R  1899226737,"1,500.00",,"16,000.00"
26/02/20,SAL0,RECHARGE SALE R  1899562065,"2,500.00",,"18,500.00"
27/02/20,SAL0,RECHARGE SALE R  1900024191,"2,000.00",,"20,500.00"
27/02/20,CSH1,CASH R.NO.,,"17,500.00","3,000.00"
28/02/20,SAL0,RECHARGE SALE R  1900735231,"1,500.00",,"4,500.00"
29/02/20,SAL0,RECHARGE SALE R  1901133770,500,,"5,000.00"
1/3/2020,SAL0,RECHARGE SALE R  1901420292,"1,000.00",,"6,000.00"
3/3/2020,SAL0,RECHARGE SALE R  1902583529,"1,000.00",,"7,000.00"
4/3/2020,SAL0,RECHARGE SALE R  1902938257,"2,000.00",,"9,000.00"
5/3/2020,SAL0,RECHARGE SALE R  1903498159,"3,500.00",,"12,500.00"
5/3/2020,CSH1,CASH R.NO.,,"10,500.00","2,000.00"
6/3/2020,SAL0,RECHARGE SALE R  1904085875,"2,500.00",,"4,500.00"
7/3/2020,SAL0,RECHARGE SALE R  1904477921,"2,500.00",,"7,000.00"
8/3/2020,SAL0,RECHARGE SALE R  1904719272,"1,500.00",,"8,500.00"
9/3/2020,SAL0,RECHARGE SALE R  1905427434,"1,500.00",,"10,000.00"
9/3/2020,CSH1,CASH R.NO.,,"10,000.00",0
11/3/2020,SAL0,RECHARGE SALE R  1906121771,"2,000.00",,"2,000.00"
12/3/2020,SAL0,RECHARGE SALE R  1906550087,"1,000.00",,"3,000.00"
13/03/20,SAL0,RECHARGE SALE R  1907087705,"2,000.00",,"5,000.00"
14/03/20,SAL0,RECHARGE SALE R  1907569848,"1,500.00",,"6,500.00"
15/03/20,SAL0,RECHARGE SALE R  1908030392,"2,500.00",,"9,000.00"
16/03/20,SAL0,RECHARGE SALE R  1908349513,"1,500.00",,"10,500.00"
17/03/20,SAL0,RECHARGE SALE R  1909016612,"1,000.00",,"11,500.00"
18/03/20,SAL0,RECHARGE SALE R  1909502112,500,,"12,000.00"
18/03/20,SAL0,RECHARGE SALE R  1909537765,"2,000.00",,"14,000.00"
19/03/20,SAL0,RECHARGE SALE R  1909831249,"2,000.00",,"16,000.00"
19/03/20,CSH1,CASH R.NO.,,"14,000.00","2,000.00"
20/03/20,SAL0,RECHARGE SALE R  1910354497,"3,000.00",,"5,000.00"
21/03/20,SAL0,RECHARGE SALE R  1910584225,"2,500.00",,"7,500.00"
22/03/20,SAL0,RECHARGE SALE R  1911149464,"3,000.00",,"10,500.00"
23/03/20,SAL0,RECHARGE SALE R  1911484036,"1,000.00",,"11,500.00"
24/03/20,SAL0,RECHARGE SALE R  1911683222,"2,500.00",,"14,000.00"
25/03/20,SAL0,RECHARGE SALE R  1911870629,"3,000.00",,"17,000.00"
,,,,,
